EG-CHP-MX1
2022-01-15T01:21:06.546123Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-14T22:15:49.690315Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-14T22:15:49.688790Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-14T22:11:29.795918Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-14T22:11:29.794599Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-14T22:07:13.510828Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-14T22:07:13.509483Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-13T14:28:09.381871Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-13T14:28:09.380532Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-13T13:59:59.616136Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-13T13:59:14.240634Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-13T13:59:07.954366Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
2022-01-13T13:58:29.605494Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-12T22:36:24.378653Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-12T22:36:24.377298Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-08T22:18:31.865926Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-08T22:18:31.864597Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-08T22:15:05.419507Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-08T22:15:05.418191Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-08T01:15:58.156676Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-08T01:15:58.155374Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-08T01:11:31.581914Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-08T01:11:31.580574Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-08T01:07:29.840977Z - Ethernet port carrier change - {'device': 'port5', 'carrier': 'true'}
2022-01-08T01:07:29.839623Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-07T20:57:34.349749Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-07T20:57:31.316119Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'false'}
